id,name,nationality,blurb
1,Laszlo Ujvarosi,Hungarian,"Laszlo Ujvarosi is a veteran traditional freelancer artist living in the eastern countryside of Hungary. He was illustrated books for more than a decades for children. His passion is drawing fantasy landscapes, heroic characters and bloody dragons sometimes. His anatomy correct characters telling tales about never was kingdoms, deepest dungeons of the evil monsters and the highest montains of the dwarfes, where the great brass dragon lives.  "
2,Zsuzsanna Tasi,Hungarian,"Zsuzsanna Tasi is working in many medium, as well as digital painting and also with traditional techniques as oilpainting, pencil grahics, pastels. She made bookcoverarts as well as digital illustrations for game industry.  Her art was choosen by Ballistic Publishing collections for the top digital artists around the world, as Expose and Exotique.
Her first inspiration in making art was fantasy in a realistic presentation. Then she mixed her theme with symbolism, science fiction and spirituality. Her aim is to give some beauty, emotions and magic through her art."
3,Mark Molnar,USA,"Concept artist / illustrator specialised on visual development and pre-production design for the entertainment industry.

Mark currently working on projects for film, game, animation companies and creating articles and videos about digital painting and concept art for various publications including ImagineFX.

Clients:

Production Companies (LucasFilm, Time Warner, MGM, Weta Workshop, Universal, Ternion Pictures, BrownBag Films, Conquistador Entertainment, SoapBox Films, BBC, Adult Swim, NathanLove Studios, Boss Creatives, OddBall Animation, Souljacker, Future Fire)


Publishers and Game Companies  (Crystal Dynamics / Eidos / Square Enix, Applibot, Super Appli, Games Workshop, Fantasy Flight Games, Paizo Publishing, Catalyst Game Labs / TOPPS, Posthuman Studios, Big Fish Games, Binary Star, VAGC, Locus Origin)

Leading agencies (Leo Burnett, Ogilvy and Mather, Saatchi&Saatchi, McCann-Erickson, DDB)
"
4,Gergo Kovacs,Hungarian,"Since 2019 switched to freelancing that gives me the possibility of choosing the projects I'm interested in and see as a challenge. So I'm able to grow as an artist constantly. 

Creating worlds is not only a job for me but the ability to give something unique to my audience. Maybe the same kind of joy and excitement I feel while drawing... maybe a small part of that ""child like wonder"" in me I will never allow to vanish. 

""Never lose the child like wonder. It’s just too important. It’s what drives us. Help others.""
- Randy Pausch
"
5,Zsolt Kosa,Hungarian,"Zsolt Kosa is a graphic designer with 15 years of experience in the industry. 
Over the years he worked on many small and big casual games as a concept artist. 
You can find character designs, creature concepts, environments, UI design, illustrations in his portfolio.
He also had a chance to design clothing based on Blizzard, Warner Bros, and Games Workshop IP-s.
In the last year he has been making useful tools for other digital artist, and just started a new project with his brother, drawing rpg maps."
6,Birgany Norbert,Hungarian,"Norbert Birgany is a painter, freelance concept artis, located in Budapest. 
Published work in Artbooks: Infected by Art 4, Infected by art 6.
Obsessed with Anathomy, Ancien Greek mythology, traditional paint"
7,David Szabo,Hungarian,"Born in 1986 in Komló, Hungary. Learnt to be a graphic artist in Pécs in the High School of Art.
Moved to Budapest to start work as a concept artist while finishing multimedia developer studies.
In 2007, joined the team of 3D Brigade, a game developer studio where he had a chance to work in famous and popular games.
From 2010 to 2012, he worked for Zen Studios in their own developed games as a 2D artist and visual designer.
After this period, he joined to Otherside Outsourcing Kft, where he worked in many mobile games. 
Later became a 2D lead artist.
From 2018, He started working as a freelancer concept artist/illustrator with other artists by his side.  Their office is based in the center of Budapest.
They are working on worldwide known mobile games, kickstarter projects and for a geek clothes manufactury from England.
In his freetime, he does his own paintings, illustrated book and developing a mobile game with his friends."
8,Mark McKenna,American,"Mark McKenna is a 35 year veteran of the comic book industry. In that time he has worked on Batman, Wolverine, Iron Man, The Incredible Hulk and more recently on Star Wars, counting close to 1000 comics in all. Mark's work can be seen in Legendary Picture Books PACIFIC RIM movie prequel as well as Dark Horse Comic’s Star Wars-The Old Republic: The Lost Suns. In 2012 his work on the online web comic titled “Star Wars: Blood of the Empire“ was collected into an 84 page trade paperback and was the lynchpin for the 2012 released Bio-ware online video game, The Old Republic. DC and Marvel have collected Mark’s work in multitudes of titles such as Doom Patrol, Deadpool Classics and Exiles. Mark has also created, written, inked and published the Sci Fi/Horror COMBAT JACKS comic book mini series. 

"
10,George Boya,Greek,"Georgeboya
is an analogue collage artist making a transition to digital space. 

Using
his 15 year old body of work as material and new digital tools he
creates new narratives and animations as a bridge from the art of the
past to the art of the future. 

He
is inspired by science fiction narratives, fascinated with the
technological inventions and dreams of future worlds."
11,Dirty Robot,UK,"Daniel Isles is a UK born illustrator based in Hokkaido, Japan. His preferred tools of choice are pencil and ink, which allow him to create crisp clean lines in a unique style.

He is deeply inspired by eastern and western cultures, that he combines to great effect to create highly original pieces. The focus of his work often depicts characters wearing interestingly-cool attire in moments of time, with a sense of spirituality about them and the world they inhabit."
